Kernel,Threshold,Fold,Accuracy,Specificity,Sensitivity,Precision,F Score,ROC
RBF,0.5,1,0.6109,0.0741,0.7537,0.7537,0.7537,0.9262
,,2,0.5461,0.2639,0.6429,0.7181,0.6784,0.8407
,,3,0.8069,0.2264,0.9563,0.8277,0.8874,0.9709
,,4,0.7317,0.1200,0.8878,0.7982,0.8406,0.9563
,,5,0.7425,0.1304,0.9548,0.7600,0.8463,0.9768
,0.4,1,0.7198,0.1852,0.8621,0.7991,0.8294,0.9262
,,2,0.6702,0.2778,0.8048,0.7647,0.7842,0.8407
,,3,0.8340,0.2453,0.9854,0.8354,0.9042,0.9709
,,4,0.8171,0.3000,0.9490,0.8416,0.8921,0.9563
,,5,0.7649,0.1884,0.9648,0.7742,0.8591,0.9768
,0.3,1,0.8366,0.4074,0.9507,0.8578,0.9019,0.9262
,,2,0.7660,0.3056,0.9238,0.7951,0.8546,0.8407
,,3,0.8610,0.3396,0.9951,0.8542,0.9193,0.9709
,,4,0.8537,0.4200,0.9643,0.8670,0.9130,0.9563
,,5,0.7836,0.2464,0.9698,0.7878,0.8694,0.9768
,0.25,1,0.8833,0.5185,0.9803,0.8844,0.9299,0.9262
,,2,0.8050,0.3194,0.9714,0.8063,0.8812,0.8407
,,3,0.9035,0.5283,1.0000,0.8918,0.9428,0.9709
,,4,0.8740,0.4800,0.9745,0.8802,0.9249,0.9563
,,5,0.7873,0.2464,0.9749,0.7886,0.8719,0.9768
Linear,0.5,1,0.6459,0.0185,0.8128,0.7569,0.7838,0.9771
,,2,0.3901,0.0000,0.5238,0.6044,0.5612,0.9260
,,3,0.7490,0.2830,0.8689,0.8249,0.8463,0.9341
,,4,0.7358,0.1600,0.8827,0.8047,0.8418,0.9288
,,5,0.7090,0.1884,0.8894,0.7597,0.8194,0.9285
,0.4,1,0.7588,0.0370,0.9507,0.7878,0.8616,0.9771
,,2,0.4858,0.0556,0.6333,0.6617,0.6472,0.9260
,,3,0.8610,0.3774,0.9854,0.8602,0.9186,0.9341
,,4,0.7967,0.2400,0.9388,0.8288,0.8804,0.9288
,,5,0.7575,0.1884,0.9548,0.7724,0.8539,0.9285
,0.3,1,0.8405,0.3148,0.9803,0.8432,0.9066,0.9771
,,2,0.5709,0.1389,0.7190,0.7089,0.7139,0.9260
,,3,0.9112,0.5849,0.9951,0.9031,0.9469,0.9341
,,4,0.8293,0.3200,0.9592,0.8468,0.8995,0.9288
,,5,0.7799,0.2174,0.9749,0.7823,0.8680,0.9285
,0.25,1,0.8716,0.4444,0.9852,0.8696,0.9238,0.9771
,,2,0.6170,0.1806,0.7667,0.7318,0.7488,0.9260
,,3,0.9112,0.5849,0.9951,0.9031,0.9469,0.9341
,,4,0.8577,0.4400,0.9643,0.8710,0.9153,0.9288
,,5,0.8097,0.3188,0.9799,0.8058,0.8844,0.9284
